bedroom,bathroom,floors,parking,roadsize(feet),Road type,Area(sq ft),Price
8,8,4,1,10,3,911.25,29900000
5,5,2.5,1,20,3,1112.31,18000000
0,1,3,0,0,5,1112.31,15700000
3,3,2,1,13,4,1026.75,30000000
0,1,3,0,12,5,1711.25,28000000
0,1,3,0,0,5,770.06,18000000
4,4,2.5,1,13,3,1197.87,21000000
4,4,3,1,20,3,1048.14,24000000
6,6,3,0,20,5,729,22800000
4,4,3,1,13,5,1093.5,55000000
7,7,3.5,1,12,5,1839.59,40000000
5,5,2,0,14,1,2551.5,51000000
0,1,3,0,13,5,546.75,18000000
4,4,2.5,1,10,2,1026.75,20000000
7,7,3,1,15,3,1573.5,23500000
0,1,4,0,0,5,2004.75,18000000
0,1,3,0,12,3,1413.5,20000000
0,1,3,0,12,1,1796.8,26000000
7,7,3,0,10,5,729,8000000
0,1,3,1,13,5,729,25000000
0,1,3,0,0,5,1026.75,11500000
2,2,1.5,1,13,3,941.18,11200000
5,5,2.5,4,13,3,1133.7,22000000
8,8,4,2,13,3,1369,33500000
5,5,2.5,1,13,3,855.62,15000000
0,1,3,0,13,5,1112.31,22000000
0,1,3,0,12,1,1093.5,32000000
4,4,3,1,20,1,911.25,33500000
4,4,3,0,16,5,3467,13000000
0,1,3,0,1,2,182.25,8700000
4,4,3,2,15,1,911.25,30500000
5,5,3,0,13,1,2258,16500000
2,2,3,0,13,1,427.81,11200000
5,5,2,1,0,5,2258,20000000
0,1,3,0,20,5,1433.17,28500000
6,6,4,3,10,5,1048.14,22500000
0,1,3,0,16,3,1240.65,22000000
7,7,2,1,10,2,2395.75,50000000
2,2,1,1,13,1,0,19500000
0,1,3,0,0,5,1197.87,19500000
4,4,3,1,13,3,889,18000000
0,1,3,0,13,5,1283.43,24000000
6,6,3,1,13,5,2566.87,27500000
4,4,3,1,13,5,1112.31,21000000
0,1,3,0,10,5,1026.75,19000000
5,5,3,1,13,1,889,18000000
5,5,3,0,16,1,1093.5,55000000
5,5,3,0,8,5,1026.75,15900000
7,7,3,0,10,3,1540.12,24500000
4,4,1.5,1,13,3,1026.75,13000000
7,7,3,0,13,3,1326.21,22500000
