bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
0,0,N/A,0,"Kapan, Kapan, Kathmandu",0,6,2,0,14,Soil Stabilized,0.75,2224.62,35000000
0,0,3,2,"Panipokhari, Panipokhari, Kathmandu",8,,,,13,Soil Stabilized,2,1458,55000000
0,3,N/A,3,"Bhudanilkantha, Budhanilkantha, Kathmandu",8,,,,20,Blacktopped,0.5,1458,42000000
6,6,3,1,"NA, Bhangal, Kathmandu",4,,,,14,Blacktopped,2,729,24000000
10,0,3,4,"Mahalaxmi Nagarpalika-4, Tikathali, Lalitpur",3,1,,,10,Soil Stabilized,2,889,14500000
4,2,2,0,"Bhutkhel Park, Tokha, Kathmandu",0,3,1,0,13,Soil Stabilized,2,1112.31,14200000
4,4,2.5,1,"Ramkot, Sitapaila, Kathmandu",0,4,0,0,13,Blacktopped,2,1369,24000000
6,5,3,1,"Na, Baniyatar, Kathmandu",4,,,,20,Gravelled,2,729,29000000
0,0,N/A,0,"Nayabasti, Imadol, Lalitpur",3,1,,,13,Soil Stabilized,0.916666667,889,22000000
8,3,3,1,"Gaurighat Chowk, Gaurighat, Kathmandu",0,3,0,0,12,Blacktopped,0.916666667,1026.75,25000000
6,4,2.5,2,"Suncity Apartment, Kadaghari, Kathmandu",0,3,1,0,13,Blacktopped,1,1112.31,21000000
5,3,3,5,"Nakhu, Lalitpur, Lalitpur",0,4,0,0,16,Gravelled,1,1369,34000000
2,0,N/A,1,"Dhapakhel (Mukhundool, kalyan school), Dhapakhel, Lalitpur",0,3,0,0,13,Gravelled,0.916666667,1026.75,13500000
8,6,3,4,"Near, Pipalbot, Dhumbarahi, Kathmandu",0,4,1,2,13,Gravelled,2,1497.34,32500000
7,8,4,1,"Na, Chapali, Kathmandu",5,,,,13,Gravelled,2,911.25,24000000
0,0,N/A,0,"Subidhanagar, Tinkune, Kathmandu",0,4,2,0,22,Blacktopped,2,1540.12,37500000
6,5,3,3,"NA, Budhanilkantha, Kathmandu",8,1,,,15,Blacktopped,2,1800.25,44500000
0,3,3,2,"Sukedhara, Jyoti Nagar, Budhanilkantha, Kathmandu",3,5,,,13,Paved,2,2258,22500000
0,0,3,0,"Bagaichaa Colony, Budhanilkantha, Kathmandu",8,,,,20,Gravelled,2,1458,45000000
4,3,N/A,0,"Brihat Cluster, Balkhu, Kathmandu",0,3,1,2,20,Soil Stabilized,2,1155.09,22835000
3,1,1,1,"Suryavinayak,Bhaktapur, Bhaktapur, Bhaktapur",4,,,,8,Soil Stabilized,1,729,8000000
0,0,1.5,0,"Maharjan Chowk, Imadol, Lalitpur",0,3,0,0,10,Soil Stabilized,0.75,1026.75,14000000
4,3,2,2,"25, Grande Villa, Grande Villa, Kathmandu",0,4,3,2,16,Paved,0.083333333,1668.46,39000000
4,4,3,1,"Shanti Chowk, Nakhipot, Lalitpur",3,0,0,,19,Gravelled,0.083333333,546.75,29000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,0,0,13,Soil Stabilized,1,1026.75,13600000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,5,0,0,0,Soil Stabilized,0.916666667,1711.25,19000000
5,7,3,3,"NA, Budhanilkantha, Kathmandu",8,,,,20,Gravelled,1,1458,45000000
0,0,N/A,0,"Kalikasthan, Anamnagar, Kathmandu",0,4,1,0,20,Soil Stabilized,0.916666667,1454.56,46500000
6,6,3,2,"na, Basundhara, Kathmandu",8,,,,15,Blacktopped,2,1458,45000000
7,5,N/A,0,"Nearby Hariyali Basti, Balambu, Kathmandu",5,,,,14,Gravelled,2,911.25,20500000
0,0,N/A,0,"Duwakot, Duwakot, Bhaktapur",0,3,0,0,12,Soil Stabilized,0.75,1026.75,11500000
6,2,3,1,"Thankot, Thankot, Kathmandu",0,3,0,0,23,Blacktopped,2,1026.75,13000000
0,4,2,1,"House for sale in Machha Pokhari, Machha Pokhari, Kathmandu",4,,,,13,Gravelled,0.166666667,729,20000007
4,6,3.5,1,"Swargadwari-07, Basundhara, Kathmandu",0,5,1,0,15,Soil Stabilized,0.916666667,1796.81,36000000
4,3,2,0,"Nilkantha Nagarpalika -3, Dhading, Dhading",0,4,0,2,7,Gravelled,2,1411.78,10000000
0,0,N/A,0,"Gothatar, Gothatar, Kathmandu",0,1,2,1,20,Soil Stabilized,0.75,534.76,11000000
4,4,N/A,3,"Pasikot, Pasikot, Kathmandu",0,7,2,0,0,Gravelled,0.333333333,2566.87,55000000
0,0,N/A,0,"Suryabinayak, Suryabinayak, Bhaktapur",0,2,3,0,16,Soil Stabilized,0.75,941.18,16500000
5,5,N/A,2,"Kapurdhara, Kapurdhara, Kathmandu",4,,,,13,Blacktopped,2,729,32000000
0,0,N/A,0,"Mitranagar- 29, Gongabu, Kathmandu",0,3,0,0,10,Blacktopped,1,1026.75,25000000
0,0,3,0,"Mandikatar Height, Mandikatar, Kathmandu",8,,,,15,Blacktopped,2,1458,51000000
5,5,3,1,"Na, Hattigauda, Kathmandu",6,,,,13,Blacktopped,2,1093.5,45000000
0,0,2,0,"Dhading Mankamana tol, Dhading, Dhading",5,,,,15,Soil Stabilized,2,911.25,9500000
0,0,3,0,"Kathmandu kageshwori Manohar 06, Mulpani, Kathmandu",0,4,0,3,23,Gravelled,0.25,1433.17,30000000
